"miRNAs"	"n_geneset"	"hyper_pval"	"OR"	"rFDRc_q"
"dme-miR-33-3p"	6	0.000606261185988965	14.0363636363636	0.106864925102333
"dme-miR-2283-5p"	7	0.00160404957512165	15.5949803149606	0.106864925102333
"dme-miR-2279-5p"	7	0.00194140996334236	14.9521874252929	0.113601877015141
"dme-miR-973-3p"	3	0.00539734056757086	11.7366771159875	0.139764590693379
"dme-miR-210-5p"	4	0.00585578196173604	8.60322108345534	0.175730858826772
"dme-miR-2280-3p"	5	0.00604685141328444	7.75718390804598	0.187204564965908
"dme-miR-252-5p"	4	0.00746981814383737	7.97878165639973	0.188082081109084
"dme-miR-4951-5p"	2	0.00873864877581706	17.9623430962343	0.192390621778292
"dme-miR-263b-3p"	3	0.012312766345636	8.5627473806752	0.200202976368985
"dme-miR-2497-5p"	3	0.012312766345636	8.5627473806752	0.200202976368985
"dme-miR-7-3p"	6	0.0126096610100587	6.79930278884462	0.202026236073337
"dme-miR-2283-3p"	3	0.0149365265424933	7.93665943600868	0.203020869342796
"dme-miR-1008-5p"	6	0.0149741556727805	6.48517715112075	0.206403987545996
"dme-miR-964-3p"	4	0.0159187243133329	6.2595462091865	0.206652216065419
"dme-miR-983-3p"	3	0.0159704356963859	7.72888888888889	0.210710179970597
"dme-miR-4941-3p"	2	0.0199290591019035	11.516711833785	0.211295951328935
"dme-miR-1013-3p"	4	0.0203215386363725	5.76883384932921	0.214472311120446
"dme-miR-9380-3p"	2	0.0218974235629869	10.9364261168385	0.217083936982259
"dme-miR-4953-3p"	6	0.0222751198733895	5.79026133571588	0.219407616283468
"dme-miR-4944-5p"	3	0.0239713448812422	6.56178343949045	0.220150563294712
"dme-miR-303-3p"	4	0.0353701900567846	4.75603334795963	0.240129922657836
"dme-miR-4977-3p"	2	0.0398458415060966	7.82462686567164	0.297378222480616
"dme-miR-2501-3p"	2	0.0427431000622381	7.51705565529623	0.308023223618082
"dme-miR-989-3p"	2	0.0438682335077694	7.40589970501475	0.312216139378756
"dme-miR-1002-5p"	3	0.044220947277917	5.07060518731988	0.319438887784426
"dme-miR-100-5p"	1	0.0454042495484394	24.8438095238095	0.322560688054319
"dme-miR-1016-5p"	3	0.0501688459373294	4.79835390946502	0.32752984081498
"dme-miR-252-3p"	2	0.054198198829241	6.55275590551181	0.328685221721463
"dme-miR-957-5p"	4	0.0574779025974096	3.97082228116711	0.341909245445917
"dme-miR-4944-3p"	3	0.0616974727893887	4.37522123893805	0.350594274012209
"dme-miR-133-5p"	2	0.0655141381130276	5.86024551463645	0.363422566795445
"dme-miR-4943-5p"	7	0.0674705552427121	5.59270433351618	0.371746213937699
"dme-miR-1004-5p"	2	0.079718891529653	5.20870299957752	0.376861261797542
"dme-miR-4975-5p"	3	0.0806470334086821	3.86696935300795	0.411494821462325
"dme-miR-184-5p"	2	0.0816750210622753	5.1325	0.412720271501093
"dme-miR-33-5p"	3	0.084283727575612	3.78729096989967	0.413649522835723
"dme-miR-289-5p"	5	0.0866878858673417	3.35361653272101	0.418553355551692
"dme-miR-4979-5p"	4	0.0915286920434395	3.29535036018337	0.421666735286864
"dme-miR-10-5p"	1	0.0951568242632203	11.4250440917108	0.423459543201145
"dme-miR-2a-1-5p"	2	0.0956263493892877	4.65829528158295	0.424488517152059
"dme-miR-980-5p"	4	0.0994645716716468	3.18170226330889	0.424770092454668
"dme-miR-966-5p"	2	0.101140388673721	4.49834254143646	0.426117734811718
"dme-miR-1009-3p"	2	0.103257977863843	4.44032023289665	0.428047036210382
"dme-miR-279-5p"	2	0.109300235900854	4.28405491024287	0.431474861150506
"dme-miR-4916-3p"	3	0.117089884854563	3.2263490520175	0.440923393397636
"dme-miR-956-5p"	3	0.121012664173209	3.17315436241611	0.455194825140496
"dme-miR-303-5p"	2	0.1227153976156	3.97896120973044	0.458962722598594
"dme-miR-2492-3p"	4	0.123732358388041	2.89258160237389	0.460317703699101
"dme-miR-4985-5p"	2	0.132187694449314	3.79182389937107	0.461294664390339
"dme-miR-4967-5p"	3	0.142353872834131	2.9184622261958	0.464018797492213
"dme-miR-4939-3p"	1	0.143158220250269	7.35314285714286	0.465247897900189
"dme-miR-4958-3p"	1	0.143158220250269	7.35314285714286	0.465247897900189
"dme-miR-2500-3p"	3	0.144702141410524	2.89347536617843	0.467426233491377
"dme-miR-8-3p"	2	0.145048329133158	3.56735057983943	0.47395132311875
"dme-let-7-3p"	3	0.14529172890658	2.88728400531679	0.475527987246733
"dme-miR-92b-5p"	1	0.146348319907878	7.17745535714286	0.476453765891004
"dme-miR-964-5p"	2	0.150410682023407	3.48225712623618	0.47974066428904
"dme-miR-968-3p"	2	0.156475647348537	3.39125496876775	0.48229248191897
"dme-miR-2491-5p"	2	0.160406155394169	3.33501118568233	0.489656341206777
"dme-miR-929-5p"	2	0.174568272262748	3.14808917197452	0.503325223009464
"dme-miR-9370-5p"	2	0.17747847061087	3.11242448121881	0.507495600729336
"dme-miR-4963-3p"	2	0.183556414415371	3.0406378600823	0.508309224128337
"dme-miR-315-3p"	2	0.184008388823239	3.03543913713405	0.50923510745436
"dme-miR-2279-3p"	1	0.19397846702514	5.24220032840723	0.509898226166704
"dme-miR-974-3p"	2	0.199280117053198	2.87008547008547	0.5113295221693
"dme-miR-4970-5p"	1	0.204019483669357	4.94953416149068	0.512849610997429
"dme-miR-989-5p"	1	0.209991409565335	4.78872180451128	0.513473837590806
"dme-miR-4955-3p"	1	0.211478250951786	4.75009324878777	0.514938896940894
"dme-miR-375-3p"	2	0.214780343115646	2.72020484171322	0.515377124737561
"dme-miR-985-3p"	3	0.215200188134322	2.32160356347439	0.515989381317539
"dme-miR-281-2-5p"	1	0.220838181925382	4.51883439943141	0.516395403945408
"dme-miR-124-5p"	1	0.220838181925382	4.51883439943141	0.516395403945408
"dme-miR-9369-3p"	3	0.224331689864103	2.26523480160175	0.516863905573135
"dme-miR-4973-5p"	1	0.225725299857335	4.40568654646325	0.517704919415693
"dme-miR-9371-3p"	2	0.230237894933457	2.58566978193146	0.518507540376422
"dme-miR-2499-3p"	1	0.231070131089237	4.28740290442418	0.518632755480899
"dme-miR-9383-3p"	1	0.233971863995864	4.22544122544123	0.51886778449048
"dme-miR-4945-5p"	2	0.235426336608496	2.54342105263158	0.519142827109715
"dme-miR-137-3p"	2	0.236135117667986	2.53775443204202	0.519422477145937
"dme-miR-314-5p"	2	0.238026633979382	2.52275201393425	0.51975397582348
"dme-miR-9b-3p"	1	0.241663026849303	4.06837881219904	0.519770552400044
"dme-miR-4982-5p"	2	0.24181573668343	2.49321266968326	0.51979784996089
"dme-miR-997-3p"	1	0.243097572651505	4.04017857142857	0.519810380773057
"dme-miR-972-5p"	4	0.254189376337841	2.02049274694911	0.519980591997016
"dme-miR-4954-3p"	1	0.254960076850574	3.81908788885533	0.520665235249378
"dme-miR-9378-5p"	1	0.255431173864825	3.81072935503315	0.521318822662012
"dme-miR-4961-3p"	3	0.256559427577518	2.08719699556163	0.521577425792545
"dme-miR-969-5p"	1	0.25825228628772	3.76130952380952	0.52193019842261
"dme-miR-959-5p"	1	0.264332631347211	3.65835989568241	0.522596176822467
"dme-miR-4910-5p"	3	0.26653625524135	2.03766756032172	0.523412680109689
"dme-miR-280-5p"	3	0.266718575403163	2.03678391959799	0.523531534645786
"dme-miR-318-5p"	1	0.271294182927903	3.54611923509561	0.523686552897098
"dme-miR-219-3p"	1	0.273601855284073	3.51016429963798	0.523972052135137
