"miRNAs"	"n_geneset"	"hyper_pval"	"OR"	"rFDRc_q"
"dme-miR-2283-5p"	19	1.23645615203642e-05	6.060922295868	0.00414212810932201
"dme-miR-2501-3p"	6	0.000644684384587917	6.80669077757685	0.0876864000678998
"dme-miR-956-5p"	11	0.0012174965614989	3.88970163618864	0.106911075568824
"dme-miR-973-3p"	6	0.00131809001372736	5.88897637795276	0.110104396897213
"dme-miR-2283-3p"	7	0.00169293728251912	4.88900355463823	0.113066182764386
"dme-miR-2279-5p"	16	0.00177213383001421	3.42156205079061	0.127390509806741
"dme-miR-289-5p"	16	0.00282327629561391	3.22504604051565	0.134420224173062
"dme-miR-963-5p"	4	0.00331613158990235	7.40359004053272	0.135854051024271
"dme-miR-9373-5p"	10	0.00374324591376625	3.43022535908866	0.13851753954652
"dme-miR-210-5p"	8	0.00385886999225821	3.83031489639419	0.13927624687687
"dme-miR-954-3p"	6	0.00519940310474191	4.40095693779904	0.148148171472999
"dme-miR-1008-5p"	15	0.00534935553946569	2.95125164690382	0.157275605867685
"dme-miR-972-5p"	15	0.00854549650363672	2.76001007302946	0.20138065769324
"dme-miR-4979-5p"	12	0.00865825725318837	2.82919050745709	0.217518562143863
"dme-miR-33-3p"	10	0.00980201814148954	2.92552038161318	0.22005659940246
"dme-miR-9378-5p"	4	0.0134536419812103	4.87512063308242	0.274385501523512
"dme-miR-375-3p"	7	0.0186202959018128	3.013720355549	0.356806667309993
"dme-miR-964-3p"	8	0.0201888580074275	2.78474148024897	0.374691162931882
"dme-miR-193-5p"	5	0.0218450487261489	3.53342546208326	0.382358282070656
"dme-miR-4966-3p"	5	0.0228806269161571	3.48836547761279	0.384935627429249
"dme-miR-957-5p"	10	0.0241565632931254	2.48457083175085	0.385331900279534
"dme-miR-303-3p"	9	0.0264692950321391	2.52040974701226	0.38763285731469
"dme-miR-980-5p"	11	0.0295512218682522	2.33588924387646	0.391353727405393
"dme-miR-1013-3p"	8	0.0296532186984731	2.56601172009652	0.401720255730963
"dme-miR-7-3p"	13	0.0301532113067658	2.26764779246695	0.403934535973193
"dme-miR-966-5p"	5	0.0304094257128996	3.21982895153627	0.412739054060218
"dme-miR-9369-3p"	10	0.0312667933189661	2.36313868613139	0.416009519137253
"dme-miR-252-3p"	4	0.0351257456117901	3.58092776102255	0.419783973977266
"dme-miR-279-5p"	5	0.0360372611037603	3.06598062953995	0.429212815871028
"dme-miR-4908-3p"	4	0.0426943370696783	3.35203668734826	0.465964675530315
"dme-miR-958-5p"	4	0.0436770335110035	3.32601419199357	0.471846575029735
"dme-miR-4985-3p"	2	0.0465983854057851	6.22687861271676	0.476188218447581
"dme-miR-2492-3p"	11	0.0480993986570091	2.12324313608881	0.480218045297428
"dme-miR-133-5p"	4	0.0487859309885264	3.20144628099174	0.486978741966796
"dme-miR-987-5p"	7	0.0491832942195632	2.39896185417673	0.488227751660751
"dme-miR-992-3p"	4	0.0533292375824291	3.10344827586207	0.49448164705166
"dme-miR-33-5p"	7	0.0554074008365493	2.32784475154366	0.495733413986028
"dme-miR-4977-5p"	10	0.056640401306182	2.08968832891247	0.496202528638792
"dme-miR-4911-3p"	9	0.0611559196745293	2.10457764571837	0.496507907056908
"dme-miR-975-3p"	3	0.0618888904076136	3.59221369707303	0.498998743492631
"dme-miR-4944-5p"	5	0.061901096858803	2.60515692147415	0.501384707028626
"dme-miR-4967-5p"	8	0.0622529714267294	2.16407805655117	0.502326981568033
"dme-miR-2500-3p"	8	0.0644893003962357	2.14551206010281	0.505378182123165
"dme-let-7-3p"	8	0.0650565731337893	2.1409117821196	0.506555486671988
"dme-miR-9384-3p"	7	0.068058853628999	2.20698758636185	0.51693493875731
"dme-miR-1004-5p"	4	0.0680785601669569	2.84463439990759	0.524483106343708
"dme-miR-2280-3p"	8	0.0747387531905723	2.06838344602695	0.531833791671933
"dme-miR-2281-3p"	4	0.0814060122533703	2.66384272835886	0.556131072343932
"dme-miR-4951-5p"	2	0.0818061262264731	4.48430962343096	0.567094079866394
"dme-miR-263b-3p"	4	0.0873763709337521	2.59419368510278	0.580832863709445
"dme-miR-4977-3p"	3	0.0886855630491548	3.06338886631451	0.58354407766275
"dme-miR-4958-5p"	3	0.0906009275175431	3.03381642512077	0.585214747589805
"dme-miR-2489-5p"	5	0.0934042329926688	2.28132933302562	0.589795823403496
"dme-miR-982-3p"	4	0.0996513310310414	2.46759025179492	0.604271030508459
"dme-miR-4916-3p"	7	0.100730581179788	1.98243904940139	0.609086556950005
"dme-miR-1009-3p"	4	0.104341987016258	2.42410980704197	0.613058985276166
"dme-miR-9370-3p"	2	0.105491369475185	3.84352517985611	0.61765318229403
"dme-miR-2281-5p"	5	0.105522485088532	2.18917917361497	0.619781072046284
"dme-miR-193-3p"	2	0.106753396145363	3.81547619047619	0.6236904524365
"dme-miR-4982-3p"	3	0.118785475034415	2.67530520454059	0.642435759389411
"dme-miR-2280-5p"	3	0.119216727819767	2.67070563079116	0.647417780928848
"dme-miR-3644-3p"	6	0.121667785934439	1.95991949396205	0.651016106155379
"dme-miR-2496-5p"	3	0.121817135841099	2.64342179559571	0.652454163308506
"dme-miR-4984-3p"	6	0.124457107218627	1.94571428571429	0.653236582483556
"dme-miR-4975-5p"	6	0.126764333975542	1.93422399090392	0.65454964239888
"dme-miR-974-3p"	5	0.127053858876914	2.0519544087826	0.657079830917705
"dme-miR-4981-3p"	2	0.133492376775135	3.317497403946	0.658444842196321
"dme-miR-1002-5p"	5	0.134176267393036	2.01229986944273	0.660262447592216
"dme-miR-988-5p"	4	0.13711998795443	2.17408506429278	0.660952846462515
"dme-miR-274-3p"	7	0.138012496058748	1.80657479661298	0.662957240530698
"dme-miR-4953-3p"	12	0.139580878645602	1.65427996293574	0.665429584412196
"dme-miR-100-5p"	1	0.140257886904554	6.94666666666667	0.667255923148222
"dme-miR-961-3p"	7	0.147719249382977	1.76900843783507	0.669259697586503
"dme-miR-991-3p"	6	0.15048640997669	1.82777476989713	0.674876576342855
"dme-miR-281-3p"	2	0.151880235842094	3.0536398467433	0.67761790036937
"dme-miR-1016-5p"	5	0.15601034629043	1.90410779696494	0.67833798092956
"dme-miR-4974-3p"	10	0.156900887613346	1.63175303197354	0.680916698229342
"dme-miR-252-5p"	5	0.157304070577167	1.89823874755382	0.682458686728282
"dme-miR-4946-5p"	8	0.157882550858389	1.6858966540635	0.687076732116446
"dme-miR-4970-5p"	2	0.16512224573932	2.89123524069028	0.688605828161506
"dme-miR-4941-3p"	2	0.16652897949244	2.87511291779584	0.691126589346826
"dme-miR-968-5p"	3	0.178975150912033	2.18487097914457	0.722350862598628
"dme-miR-9380-3p"	2	0.180002196361789	2.73024054982818	0.730625110539862
"dme-miR-1014-5p"	4	0.188599079734613	1.89837236998809	0.744379741256575
"dme-miR-281-2-5p"	2	0.189323815904171	2.63902743142145	0.748305264382041
"dme-miR-11-3p"	3	0.195116964026339	2.08865047995483	0.748655011345146
"dme-miR-4973-5p"	2	0.196544179631789	2.5727899432279	0.750353377196539
"dme-miR-4944-3p"	5	0.198247982769692	1.73598553345389	0.751599128361271
"dme-miR-968-3p"	4	0.199715018215224	1.85044989140552	0.75178559244257
"dme-miR-967-3p"	5	0.201114949822331	1.72604054216145	0.752108477444387
"dme-miR-2491-5p"	4	0.20724638248714	1.81970970206264	0.753296072601965
"dme-miR-9377-5p"	3	0.209034380763122	2.01347444220173	0.754150968856327
"dme-miR-184-5p"	3	0.21007524802299	2.00810796103825	0.754639343048661
"dme-miR-2493-3p"	3	0.211639001317217	2.0001084245907	0.754693835951886
"dme-miR-309-5p"	3	0.21477518866739	1.9842875591907	0.755416130847589
"dme-miR-997-3p"	2	0.222829142060447	2.35887397464579	0.75656043222477
"dme-miR-999-3p"	3	0.224250306887252	1.93820402147594	0.756720155956136
"dme-miR-3645-3p"	4	0.225599639293157	1.74990783749908	0.756797909085228
"dme-miR-9380-5p"	2	0.226509083463093	2.33185840707965	0.757054321036375
"dme-miR-3641-5p"	3	0.238634973004417	1.87272541923645	0.757322084695694
"dme-miR-9370-5p"	4	0.240440564270372	1.69806988591519	0.757363779950983
"dme-miR-263a-3p"	2	0.241281367481406	2.2295197740113	0.757815266335376
"dme-miR-2497-5p"	3	0.241857144353799	1.85873361340284	0.75798019814534
"dme-miR-2a-1-5p"	3	0.250490952925827	1.82236024844721	0.758397403176654
"dme-miR-994-3p"	3	0.253743266192234	1.8090608498248	0.759859005865475
"dme-miR-4-5p"	5	0.257161991876914	1.55755681662417	0.761026086699241
"dme-miR-13b-1-5p"	3	0.261360688642061	1.77872237065825	0.762360330948049
"dme-miR-9374-3p"	1	0.261496275085968	3.43019867549669	0.762533922663371
"dme-miR-4969-3p"	1	0.265927626475726	3.3625974025974	0.762557427794859
"dme-miR-2495-3p"	1	0.268867644587853	3.31897435897436	0.762802518102458
"dme-miR-9384-5p"	2	0.269501467403813	2.05718954248366	0.76292753049804
"dme-miR-219-3p"	2	0.270989708944925	2.048828125	0.763542013724784
"dme-miR-210-3p.1"	3	0.273953820936067	1.73088945723217	0.765042086617191
"dme-miR-4917-3p"	2	0.276199401342696	2.02007064868337	0.766304663243767
"dme-miR-10-5p"	1	0.277619923084433	3.19456790123457	0.766467625459146
"dme-miR-990-3p"	2	0.278432356354941	2.00798212005109	0.76670907109285
"dme-miR-997-5p"	2	0.279176684342541	2.00398342893563	0.768199497133939
"dme-miR-1002-3p"	3	0.288842608079031	1.67770876466529	0.769034448990882
"dme-miR-983-3p"	3	0.288842608079031	1.67770876466529	0.769034448990882
"dme-miR-8-5p"	3	0.289949350102994	1.67389008769111	0.770490005343682
"dme-miR-4963-5p"	4	0.290524108418016	1.54664203720807	0.771122128580219
"dme-miR-4983-3p"	5	0.295454591556538	1.46351284649157	0.771208547055381
"dme-miR-9378-3p"	1	0.299062102741546	2.92045197740113	0.774085507832172
"dme-miR-282-5p"	1	0.301874396554939	2.88737430167598	0.774736800774481
"dme-miR-970-3p"	2	0.310405085634451	1.84882005899705	0.77546936107786
"dme-miR-989-3p"	2	0.310405085634451	1.84882005899705	0.77546936107786
"dme-miR-3643-3p"	2	0.311888805681016	1.84200470311581	0.775916741860515
"dme-miR-4950-3p"	3	0.312171427064148	1.60076648605788	0.776628739839247
"dme-miR-971-3p"	3	0.318305434957863	1.58168510934913	0.777478427079323
"dme-miR-975-5p"	3	0.318863435207467	1.57997127562345	0.778198234630449
"dme-miR-276a-5p"	1	0.321258862454818	2.67502590673575	0.778397654003061
"dme-miR-276b-5p"	1	0.321258862454818	2.67502590673575	0.778397654003061
"dme-miR-283-5p"	4	0.329607000480827	1.44733242134063	0.77929606548271
"dme-miR-3642-3p"	3	0.333946477011949	1.5349605898805	0.781024432956279
"dme-miR-9377-3p"	3	0.335064706961708	1.53172052106243	0.781712288533958
"dme-miR-125-3p"	3	0.335623854645504	1.53010520978578	0.781920005020218
"dme-miR-978-5p"	2	0.336290356239349	1.73611111111111	0.782833961589222
"dme-miR-1007-5p"	2	0.337763431528712	1.73006644518272	0.783234800849127
"dme-miR-2501-5p"	5	0.342845612529164	1.36305857045077	0.783438607168738
"dme-miR-287-3p"	3	0.342894208413966	1.5093883000918	0.78453341556036
"dme-miR-4943-5p"	16	0.342984063462306	1.27793491692984	0.78510575271905
"dme-miR-9c-5p"	3	0.344012870583636	1.50624687656172	0.785171226833391
"dme-miR-9371-3p"	4	0.345601336871716	1.41030627126884	0.786450507750062
"dme-miR-9a-5p"	3	0.347928237560929	1.49534604724279	0.787159488002856
"dme-miR-3-5p"	2	0.350251823728149	1.68026386645127	0.789540619619918
"dme-miR-285-3p"	1	0.351986242038798	2.38592592592593	0.791444536863326
"dme-miR-4985-5p"	3	0.352402662297391	1.4830644168001	0.792350543129645
"dme-miR-4913-3p"	2	0.352449131742336	1.67175777063237	0.794090926283362
"dme-miR-995-3p"	1	0.353291405701129	2.3747465437788	0.794945079079329
"dme-miR-4945-5p"	4	0.35598370182424	1.38723200383279	0.796943140626341
"dme-miR-956-3p"	2	0.35683741679318	1.65498938428875	0.79739003036865
"dme-miR-966-3p"	1	0.357191748559048	2.34181818181818	0.797490744282358
"dme-miR-4961-3p"	7	0.357733443306763	1.28160143949618	0.797741014214628
"dme-miR-969-3p"	2	0.358298246881246	1.6494708994709	0.799164577566391
"dme-miR-313-5p"	2	0.359028291310007	1.64672477548864	0.799418239699825
"dme-miR-4969-5p"	3	0.360789529730266	1.46052951178042	0.802659005539173
"dme-miR-314-5p"	4	0.361181804539671	1.37594387300077	0.803974818748248
"dme-miR-9388-5p"	7	0.362749361500946	1.27374151609033	0.804313899091
"dme-miR-983-5p"	3	0.364701383176169	1.45022724530427	0.806569899447719
"dme-miR-998-3p"	1	0.36620478505365	2.26837004405286	0.807548254941678
"dme-miR-210-3p.2"	2	0.367768836018748	1.61443753240021	0.80859074645725
"dme-miR-4982-5p"	4	0.368748500215569	1.35981170932627	0.809145063830434
"dme-let-7-5p"	1	0.368757538066831	2.2482096069869	0.809390985760564
"dme-miR-306-5p"	1	0.373833417255449	2.20892703862661	0.809438901675918
"dme-miR-4910-5p"	7	0.377504747288209	1.25114800423878	0.809547609542859
"dme-miR-280-5p"	7	0.377865743240569	1.25060470700401	0.80961794980897
"dme-miR-9381-5p"	1	0.380123093999399	2.16168067226891	0.810439842976182
"dme-miR-2497-3p"	3	0.382556132872246	1.40478143677487	0.811054646027488
"dme-miR-9381-3p"	1	0.382621916937272	2.14333333333333	0.811269470423119
"dme-miR-1000-5p"	5	0.383997784666538	1.28636596378532	0.811545173030459
"dme-miR-8-3p"	3	0.386453622855488	1.39518633540373	0.811631593467442
"dme-miR-2492-5p"	2	0.390160669855957	1.53635014836795	0.812101592268792
"dme-miR-959-3p"	2	0.390160669855957	1.53635014836795	0.812101592268792
"dme-miR-277-3p"	5	0.393704475895322	1.26941931920182	0.812489490230113
"dme-miR-4939-3p"	1	0.394971442381172	2.056	0.81270571103873
"dme-miR-4958-3p"	1	0.394971442381172	2.056	0.81270571103873
"dme-miR-4986-5p"	2	0.398747940979574	1.50801749271137	0.813080920076042
"dme-miR-964-5p"	3	0.400340788721088	1.36187583064363	0.813332742340653
"dme-miR-988-3p"	1	0.401056786573065	2.01490196078431	0.814381169100091
"dme-miR-92b-5p"	1	0.402266772848564	2.006875	0.814846982668413
