miRNAs	n_geneset	OR	hyper_pval	rFDRc_q
dme-let-7-3p	3	2.887284005316792	0.145115629159755	0.475802918498214
dme-miR-10-5p	1	11.425044091710758	0.0954647255367064	0.422938025047897
dme-miR-100-5p	1	24.843809523809522	0.0452825330531332	0.323467637069921
dme-miR-1000-3p	1	2.048955722639933	0.417295236186317	0.545092075364073
dme-miR-1000-5p	1	0.7712891986062718	0.743683700476099	0.639721250128353
dme-miR-1002-5p	3	5.0706051873198845	0.0441544138778116	0.320487579619446
dme-miR-1004-5p	2	5.2087029995775245	0.0796891130300183	0.390550929965134
dme-miR-1008-5p	6	6.485177151120752	0.0149856699463626	0.208307507331827
dme-miR-1009-3p	2	4.440320232896652	0.102773511515106	0.429171342266754
dme-miR-1010-5p	1	2.6625320786997433	0.341688955712664	0.532856933987079
dme-miR-1011-3p	1	1.3042471042471042	0.564608501361547	0.608623635392351
dme-miR-1013-3p	4	5.768833849329205	0.0203460902025163	0.216859953600188
dme-miR-1014-3p	1	0.8012234616768622	0.731041382844843	0.637664807594053
dme-miR-1016-5p	3	4.79835390946502	0.0499932847876592	0.327025855062496
dme-miR-12-5p	1	2.420754348250928	0.367792119996115	0.536825711578538
dme-miR-124-5p	1	4.518834399431414	0.220297700744727	0.517630477870421
dme-miR-125-3p	1	1.6747956214493558	0.480068464169319	0.564765986279676
dme-miR-133-5p	2	5.86024551463645	0.0658532598007655	0.368172291527681
dme-miR-137-3p	2	2.5377544320420222	0.236799278871921	0.519506162504126
dme-miR-137-5p	1	2.8895053166897826	0.320739306090465	0.529926565087003
dme-miR-184-5p	2	5.1325	0.0816396157993323	0.41344151843089
dme-miR-193-5p	1	2.1122571772391265	0.407367748489458	0.541013093101916
dme-miR-210-3p.1	1	1.8940993788819875	0.441845123082189	0.548211719259398
dme-miR-210-5p	4	8.603221083455344	0.0058751560405193	0.180304817016914
dme-miR-219-3p	1	3.510164299637984	0.274332306003482	0.524121244070309
dme-miR-2279-3p	1	5.242200328407225	0.193496339496642	0.51250152284988
dme-miR-2279-5p	7	14.952187425292852	0.00194298056242039	0.121122251755022
dme-miR-2280-3p	5	7.757183908045977	0.00605415940010443	0.187196334864519
dme-miR-2280-5p	1	2.919234360410831	0.317264139807532	0.529502544104514
dme-miR-2281-3p	1	2.0880952380952382	0.411585754191652	0.543851833773374
dme-miR-2281-5p	1	1.3109830433337029	0.563726621638253	0.606195690408785
dme-miR-2283-3p	3	7.936659436008677	0.0148691739995256	0.206396856294601
